PCLAF,CEP55,DTL,KIF23
9.842512891,7.731343005,7.309731398,7.804756177
8.214822707,6.878316274,6.443071776,8.259122083
9.632697181,7.453065144,6.815316574,8.467359886
9.782867562,8.386535393,7.95581139,7.749115486
9.117900643,7.377064821,7.089068982,8.21346161
7.394135929,5.85329589,4.65859698,7.011037507
9.823072313,7.242931178,7.427945167,8.239744848
8.933308495,6.602762648,6.063186128,7.880625343
9.756056415,7.800412317,7.298054027,8.416993423
9.126942686,7.41576333,6.390274892,8.364092744
8.690206437,7.063076017,6.727229783,8.427148603
9.591383457,7.136465906,6.64834139,8.303168125
8.915181523,7.579834505,6.107767515,8.053797838
9.699762981,6.890277031,7.08514829,7.930403505
9.158510168,7.110675108,7.458532191,7.388944366
9.519909819,7.374050606,6.238497514,9.298779333
9.254310987,6.870705428,6.413556133,8.516318007
10.31721597,8.620431728,7.866532844,9.444318417
9.686778644,8.094573123,7.169031187,8.849830381
8.038247764,7.807150127,7.465593835,8.353018211
9.864074606,8.185418097,6.818508975,8.836947039
9.288344605,7.381497205,7.064931108,8.425116489
10.09636108,7.965704203,7.273717755,8.290886061
8.703227897,6.263858603,6.325691153,8.390460685
8.000959272,4.622968285,6.110672004,6.278663669
10.37623077,8.479440419,7.800395428,8.530569726
9.277167398,7.672247665,7.278799913,7.758301306
9.293480311,8.005929061,7.306828592,8.376278755
10.28861308,8.287182997,7.775136863,9.401415608
9.373152082,6.695617329,6.740133946,7.703787286
8.978934363,7.471291055,6.448892786,8.018763811
8.874551453,6.9139362,5.486926283,8.542388589
9.649889855,8.192993683,7.351419466,8.986987272
8.754635178,7.137327341,6.76373066,7.948062588
9.414683022,7.116058244,7.350139816,7.937538766
9.210252892,7.412308794,6.707140562,8.167101637
9.483329958,7.241034154,6.729382807,8.054647212
10.67578364,9.383891547,8.274997606,9.551122902
9.302812245,7.653611143,6.735550742,8.380976741
9.167024655,7.183560563,6.147256903,7.318035348
9.096064825,7.341226291,6.831210143,8.008015165
